fato;filhosJuntos;tempoJuntos;diaSemana;periodo;idade;possuiProfissao;escolaridade;tipoLocal;qtdRegAnt
INJURIA , VIAS DE FATO ;S;156;Quinta-feira;TARDE;31;S;FUNDAMENTAL;VIA URBANA;Mais_que_3_registros
AMEACA , INJURIA ;S;240;Quarta-feira;NOITE;35;S;SUPERIOR;RESIDENCIA;Mais_que_3_registros
AMEACA ;N;36;Quinta-feira;TARDE;48;S;FUNDAMENTAL;CEMITERIO;Entre_1_e_3_registros
INJURIA ;S;324;Quarta-feira;NOITE;43;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;120;Quinta-feira;MADRUGADA;33;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
VIAS DE FATO ;N;31;Quarta-feira;NOITE;34;N;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
INJURIA ;S;48;Quarta-feira;TARDE;24;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;N;16;Quarta-feira;MANHA;18;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO ;N;12;Quarta-feira;TARDE;20;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;N;60;Quarta-feira;MANHA;37;S;MEDIO;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;N;8;Quarta-feira;MADRUGADA;41;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , APROPRIACAO INDEBITA ;S;108;Quarta-feira;MADRUGADA;51;S;MEDIO;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;N;8;Quarta-feira;TARDE;35;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA NA FORMA TENTADA ;S;60;Terça-feira;NOITE;30;N;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;N;60;Terça-feira;TARDE;37;S;MEDIO;RESIDENCIA;Mais_que_3_registros
AMEACA , INJURIA ;S;60;Terça-feira;NOITE;20;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;8;Segunda-feira;NOITE;47;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;N;12;Domingo;NOITE;32;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;S;36;Segunda-feira;MANHA;22;N;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;60;Terça-feira;MANHA;46;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA ;S;12;Terça-feira;MANHA;35;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA , VIAS DE FATO ;N;204;Quinta-feira;NOITE;61;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;8;Terça-feira;MANHA;41;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
DIFAMACAO ;S;4;Sábado;TARDE;35;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;156;Segunda-feira;NOITE;44;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA , FURTO ;N;24;Segunda-feira;NOITE;46;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;N;60;Quinta-feira;NOITE;23;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;8;Segunda-feira;NOITE;25;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;N;12;Segunda-feira;MANHA;22;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA , FURTO ;N;60;Segunda-feira;NOITE;43;S;FUNDAMENTAL;RESIDENCIA;Mais_que_3_registros
AMEACA ;S;84;Domingo;TARDE;30;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;300;Segunda-feira;TARDE;65;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA , DIFAMACAO , INJURIA ;S;312;Sábado;TARDE;47;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;24;Sábado;TARDE;40;S;MEDIO;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;72;Quarta-feira;TARDE;44;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
INJURIA REAL ;N;12;Segunda-feira;TARDE;51;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;5;Domingo;MANHA;20;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;24;Domingo;TARDE;40;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;N;17;Sábado;MANHA;54;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;8;Segunda-feira;MANHA;40;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA REAL ;S;48;Domingo;MANHA;23;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;144;Domingo;NOITE;35;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;N;29;Domingo;NOITE;41;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
INJURIA ;S;120;Segunda-feira;MADRUGADA;26;S;FUNDAMENTAL;VIA URBANA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , ESTUPRO ;S;168;Sábado;NOITE;32;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;72;Domingo;TARDE;29;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;S;240;Domingo;NOITE;35;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA , INJURIA ;S;120;Domingo;TARDE;26;S;SUPERIOR;RESIDENCIA;Entre_1_e_3_registros
AMEACA ;S;216;Domingo;NOITE;33;N;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;144;Domingo;NOITE;35;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
AMEACA , INJURIA ;N;72;Domingo;NOITE;27;S;MEDIO;SUPERMERCADO;Entre_1_e_3_registros
LESAO CORPORAL DOLOSA , AMEACA ;S;43;Domingo;TARDE;39;S;FUNDAMENTAL;RESIDENCIA;Entre_1_e_3_registros
